indication,target,molecular_weight,logP,traditional_time_years
liver_cancer,CD47,497.7,2.05,11.85
alzheimers,CTLA-4,352.5,3.4,11.41
coronary_artery_disease,VEGFPARP,399.6,1.43,9.85
atherosclerosis,PD-1,527.7,4.4,11.46
stomach_cancer,RAS,574.6,3.19,13.84
melanoma,EGFR,500.1,4.37,13.21
coronary_artery_disease,CDK6,398.7,4.11,11.04
kidney_cancer,TGF_beta,472.0,3.91,9.85
sepsis,GCGR,464.9,4.3,10.7
lupus,OX40,467.9,1.52,11.8
influenza,CDK4,566.2,2.05,9.52
atherosclerosis,MEK,550.2,2.91,8.86
colorectal_cancer,ROS1,544.1,4.13,14.34
bladder_cancer,CD19,484.4,3.51,13.25
colon_cancer,TIM3,483.8,0.99,15.1
tuberculosis,LAG3,459.5,1.88,10.39
psoriasis,CDK6,463.7,1.86,10.34
huntingtons,NMDA,355.2,4.6,12.52
schizophrenia,SGLT2,535.6,3.0,10.86
bladder_cancer,GIPR,464.8,2.75,11.22
pneumonia,MEK,495.6,2.32,9.56
colon_cancer,IL-1,529.5,2.75,12.77
stomach_cancer,HIF,416.4,3.02,12.82
lung_cancer,CD47,402.7,3.33,11.23
tuberculosis,VEGFR,407.0,3.47,7.97
fibromyalgia,HER2,547.3,2.28,10.58
hiv_aids,ER_beta,439.6,3.46,8.77
obesity,Wnt,415.1,3.46,9.63
myocardial_infarction,LAG3,494.4,4.08,10.19
obesity,TIM3,401.5,2.06,8.57
esophageal_cancer,p53,425.4,2.03,13.06
thyroid_cancer,NMDA,495.2,1.84,10.59
hiv_aids,GABA_A,636.6,4.3,12.03
lymphoma,IGF1R,451.0,3.87,11.51
multiple_sclerosis,GLP-1R,319.1,5.52,13.49
heart_failure,HIF,402.8,2.88,11.53
bladder_cancer,CD33,301.5,3.49,12.69
lung_cancer,FGFR,361.5,3.1,11.73
type2_diabetes,HER4,406.5,1.92,9.76
type1_diabetes,OX40,385.7,3.23,11.37
epilepsy,NOTCH,347.5,2.25,11.95
asthma,CEA,503.1,5.6,12.87
pneumonia,NF-kB,488.2,2.08,9.41
tuberculosis,CD33,420.6,3.03,9.06
rheumatoid_arthritis,CTLA-4,422.0,3.9,13.53
autism,NF-kB,467.4,3.91,9.45
melanoma,BCMA,424.8,4.33,14.99
type2_diabetes,RET,436.7,2.03,9.74
epilepsy,GCGR,624.2,1.18,14.35
covid_19,ER_beta,390.9,2.37,9.45
lung_cancer,IL-17,650.7,4.81,13.63
ovarian_cancer,CEA,569.5,2.67,12.35
fibromyalgia,ROS1,644.1,3.37,10.04
kidney_cancer,DNMT,528.2,3.18,14.52
arrhythmia,OX40,446.0,2.75,11.18
influenza,CTLA-4,433.2,3.61,10.54
alzheimers,BTK,479.4,2.97,10.43
influenza,BCR-ABL,570.8,0.03,10.21
chronic_pain,ER_alpha,490.8,3.72,11.71
huntingtons,MR,541.8,2.94,12.71
crohns_disease,RAS,466.6,3.99,11.46
hepatitis_b,PI3K,569.3,2.7,9.74
pneumonia,STAT,471.4,4.68,10.07
ovarian_cancer,MEK,280.1,2.31,10.68
liver_disease,AP-1,567.3,4.09,11.04
ulcerative_colitis,CD19,491.8,2.55,13.31
copd,IL-13,379.5,2.41,11.76
hypertension,c-MET,573.8,2.37,11.84
asthma,CTLA-4,458.1,2.25,12.17
gout,EGFR,517.4,2.46,8.7
lymphoma,AMPA,442.2,1.32,14.02
stroke,ROS1,320.9,3.01,8.25
psoriasis,IL-23,344.0,5.11,9.91
tuberculosis,D2,285.1,2.2,9.39
pneumonia,BCR-ABL,451.3,2.63,13.12
depression,CD38,361.7,2.04,12.24
liver_cancer,PD-1,370.7,2.71,10.94
colon_cancer,HGF,606.2,3.08,16.9
lung_cancer,CD38,544.6,3.51,14.28
ulcerative_colitis,AP-1,539.1,0.2,14.68
als,IL-6,425.6,4.31,11.55
insomnia,OX40,404.3,4.76,11.77
type1_diabetes,MR,568.7,2.53,10.98
hepatitis_b,IL-13,409.7,1.99,10.06
migraine,IGF1R,399.6,1.77,12.92
hepatitis_c,CD38,484.3,1.54,9.95
epilepsy,BRD4,498.3,3.63,9.69
adhd,PD-1,317.1,4.55,10.81
kidney_disease,c-MET,491.1,3.75,10.34
coronary_artery_disease,OX40,389.3,3.62,9.71
celiac_disease,SGLT2,540.1,2.9,9.78
cervical_cancer,Hedgehog,610.2,3.04,12.75
kidney_disease,IL-4,541.3,3.29,10.4
osteoporosis,SGLT2,496.8,1.33,6.83
fibromyalgia,CD38,479.7,2.27,9.88
celiac_disease,GIPR,382.3,4.74,12.24
arrhythmia,Hedgehog,432.9,2.0,12.99
colon_cancer,ALK,421.3,1.7,14.66
hyperlipidemia,GIPR,564.7,2.3,8.67
schizophrenia,AR,492.3,4.36,11.97
rheumatoid_arthritis,CDK6,410.0,3.53,12.67
anxiety,D2,367.6,5.45,12.48
multiple_sclerosis,CDK4,524.9,2.81,13.08
pneumonia,RET,388.2,2.89,9.45
coronary_artery_disease,HER3,422.8,4.95,9.6
malaria,CD19,352.0,3.13,9.85
gout,AKT,448.5,2.88,8.9
psoriasis,BTK,441.3,2.88,11.51
colorectal_cancer,PD-L1,519.8,3.61,13.15
multiple_sclerosis,TIM3,483.5,-0.03,13.62
epilepsy,TOP1,474.0,1.34,10.95
obesity,AMPA,501.7,4.47,7.12
cervical_cancer,D2,375.9,2.74,11.92
huntingtons,CD38,402.1,4.24,10.44
asthma,DNMT,457.6,4.73,8.82
cervical_cancer,CDK4,483.1,3.24,13.36
prostate_cancer,CD22,455.5,3.82,14.9
heart_failure,CD38,311.0,3.09,8.74
multiple_sclerosis,HGF,444.4,3.73,13.7
pancreatic_cancer,CD19,435.0,1.96,13.05
liver_cancer,CEA,450.6,1.92,13.68
anxiety,GR,296.0,3.73,12.48
psoriasis,ER_beta,496.3,3.47,12.03
fibromyalgia,LAG3,554.2,2.33,12.98
alzheimers,BTK,335.5,2.93,12.2
anxiety,IL-4,422.2,2.16,11.39
influenza,HER4,443.6,2.39,7.24
migraine,p53,303.1,2.56,11.19
coronary_artery_disease,SGLT2,359.1,3.23,9.08
colorectal_cancer,Wnt,397.5,4.11,12.77
bladder_cancer,TOP1,578.3,3.68,13.32
thyroid_cancer,PD-1,325.9,4.51,13.54
multiple_sclerosis,PD-L1,576.1,3.02,12.38
stomach_cancer,VEGFR,555.8,2.45,11.15
parkinsons,HDAC,300.7,2.24,11.01
prostate_cancer,mTOR,588.3,1.51,12.25
pneumonia,ALK,450.0,3.03,10.38
malaria,AP-1,409.0,2.56,10.1
bipolar_disorder,GPC3,455.8,2.44,12.63
obesity,ER_alpha,336.2,3.22,5.97
gout,AKT,535.9,3.87,9.04
adhd,IL-1,385.2,1.75,11.77
stomach_cancer,TGF_beta,427.3,4.57,11.31
type2_diabetes,BRAF,501.6,3.7,10.61
insomnia,HIF,521.2,3.42,11.44
stomach_cancer,PR,459.6,3.66,11.64
stroke,RET,406.3,1.59,9.77
kidney_disease,CD19,507.8,4.24,11.71
alzheimers,PDGFR,360.5,3.82,12.62
gout,NOTCH,584.5,3.0,11.93
hypertension,CD20,384.6,3.12,13.41
migraine,CDK6,406.0,2.38,11.07
anxiety,OX40,484.7,1.4,9.71
malaria,TOP2,334.5,3.02,7.08
brain_cancer,CDK6,448.2,3.34,12.89
pancreatic_cancer,CEA,600.0,3.1,13.16
lupus,HGF,497.9,2.02,11.53
copd,MYC,511.4,2.47,13.21
migraine,MEK,455.7,2.89,9.83
brain_cancer,VEGFPARP,532.6,1.69,11.42
epilepsy,LAG3,267.3,2.79,14.18
malaria,CDK6,487.5,3.15,10.52
stroke,GABA_B,548.6,3.44,9.4
melanoma,VEGFPARP,404.9,0.67,12.92
alzheimers,TNF_alpha,431.0,4.03,8.6
rheumatoid_arthritis,TGF_beta,418.6,3.03,10.2
bladder_cancer,TGF_beta,483.7,1.98,11.87
hyperlipidemia,MR,499.9,4.64,9.49
lymphoma,EGF,436.2,1.87,12.55
parkinsons,JAK,444.7,0.78,12.73
leukemia,GCGR,477.0,3.45,13.59
hiv_aids,GABA_A,584.1,2.81,8.01
liver_cancer,AMPA,482.7,2.14,10.73
brain_cancer,NOTCH,421.5,1.47,12.57
crohns_disease,HER4,434.4,2.69,10.43
prostate_cancer,PD-L1,473.9,2.38,13.58
liver_disease,ALK,456.7,2.67,9.05
osteoporosis,BCMA,423.5,3.08,9.05
heart_failure,GPC3,453.2,3.76,11.04
heart_failure,TOP1,440.3,2.65,8.13
alzheimers,PI3K,435.5,2.29,11.56
arthritis,ALK,421.2,5.03,10.08
kidney_cancer,CD30,377.0,2.72,13.53
colorectal_cancer,JAK,419.0,2.75,13.23
alzheimers,IGF1R,423.5,3.28,10.83
type1_diabetes,RAS,313.2,4.04,12.4
als,AKT,500.6,1.76,13.09
kidney_cancer,HER4,268.5,2.02,12.51
colorectal_cancer,HGF,430.6,5.58,12.99
hepatitis_c,STAT,493.5,1.19,7.88
colorectal_cancer,GR,394.8,2.95,11.64
anxiety,IL-4,470.3,1.69,12.27
arrhythmia,PD-L1,439.2,2.28,11.08
liver_disease,BTK,361.7,3.26,9.06
crohns_disease,IL-4,511.9,3.84,11.89
psoriasis,TIGIT,496.0,2.5,12.76
melanoma,EGF,507.2,3.31,15.14
rheumatoid_arthritis,IL-6,460.7,2.39,12.74
liver_disease,IL-4,410.2,3.07,9.83
kidney_disease,STAT,645.2,3.3,11.34
hypertension,PD-1,401.1,2.17,9.47
migraine,MR,410.7,5.18,10.77
depression,IL-6,418.1,3.91,11.24
leukemia,PR,419.9,3.26,11.06
hiv_aids,TOP2,513.3,2.43,8.14
influenza,AMPA,398.7,4.66,9.56
fibromyalgia,BRD4,528.8,3.79,8.83
huntingtons,ROS1,513.0,3.46,9.7
rheumatoid_arthritis,DNMT,611.4,3.04,13.78
thyroid_cancer,BRD4,496.2,1.55,12.61
hyperlipidemia,ALK,384.0,1.8,7.11
prostate_cancer,CD38,551.9,0.45,13.36
autism,CDK6,417.8,0.01,12.97
huntingtons,TOP2,383.5,2.51,10.31
colorectal_cancer,STAT,560.8,3.4,11.54
lupus,TIGIT,383.3,4.07,15.14
tuberculosis,HER4,451.4,3.04,7.03
brain_cancer,RAS,353.8,2.01,15.49
heart_failure,TOP1,384.0,3.05,11.7
asthma,TIM3,456.2,4.54,14.25
influenza,HDAC,480.8,0.29,9.79
kidney_cancer,HGF,471.0,1.55,11.75
atherosclerosis,LAG3,372.7,2.19,10.29
hepatitis_b,CEA,396.9,1.62,7.08
autism,HER3,466.3,1.59,10.87
schizophrenia,JAK,478.5,5.24,14.09
hepatitis_c,CDK6,343.7,2.72,9.51
ulcerative_colitis,PI3K,248.1,2.7,8.68
gout,GLP-1R,501.4,3.72,9.98
asthma,GPC3,456.2,3.89,10.86
psoriasis,CDK4,653.7,4.71,14.87
liver_cancer,HIF,408.2,1.55,13.51
anxiety,CD30,417.5,2.05,11.44
hepatitis_b,DNMT,486.1,1.82,8.77
fibromyalgia,MYC,444.2,3.84,11.72
ovarian_cancer,FGFR,441.9,2.05,9.96
lymphoma,mTOR,544.0,1.12,13.36
psoriasis,D2,423.8,2.96,10.57
ovarian_cancer,TIM3,451.3,3.18,16.3
anxiety,RET,498.8,2.96,12.12
als,CD30,420.6,2.59,12.92
cardiomyopathy,Wnt,401.1,3.79,10.16
asthma,GPC3,398.3,3.85,11.66
thyroid_cancer,AP-1,451.5,2.48,11.59
crohns_disease,ER_beta,499.5,2.27,10.58
leukemia,ROS1,501.1,3.21,12.24
liver_cancer,IL-17,402.3,3.53,15.05
chronic_pain,RAS,493.7,4.16,12.12
kidney_disease,EGF,527.3,3.49,9.17
thyroid_cancer,ALK,359.8,5.45,12.36
esophageal_cancer,BRD4,337.7,3.95,14.67
pneumonia,CEA,484.5,1.83,10.9
kidney_disease,DNMT,440.1,2.92,12.28
chronic_pain,IL-4,554.4,2.29,11.8
stroke,PD-1,429.0,0.66,11.19
bipolar_disorder,TGF_beta,588.8,1.93,12.65
lung_cancer,IGF1R,476.2,2.9,11.69
hypertension,CD47,442.2,3.81,8.74
leukemia,ERK,583.7,3.25,11.2
colorectal_cancer,IL-13,502.4,3.33,14.38
kidney_cancer,p53,531.4,2.54,13.34
malaria,CEA,536.0,4.11,10.37
parkinsons,EGF,536.6,2.34,11.02
rheumatoid_arthritis,GR,436.5,3.24,12.02
lymphoma,EGFR,340.3,4.59,13.54
prostate_cancer,D2,449.0,3.28,10.08
kidney_cancer,IL-17,403.8,1.67,13.04
malaria,HGF,401.7,3.22,8.78
pancreatic_cancer,EGF,503.9,3.16,14.32
arthritis,TIM3,477.7,2.66,12.65
kidney_disease,CD20,489.7,4.48,13.07
myocardial_infarction,p53,506.4,3.81,10.69
anxiety,TIM3,473.5,1.5,13.9
osteoporosis,CEA,366.4,3.45,10.26
coronary_artery_disease,TNF_alpha,449.1,3.44,9.11
schizophrenia,GABA_B,584.1,3.73,11.43
ovarian_cancer,JAK,550.7,3.09,12.23
kidney_cancer,BTK,385.4,2.94,11.68
multiple_sclerosis,IGF1R,385.6,4.56,12.16
huntingtons,BCMA,513.2,3.52,12.62
breast_cancer,p53,548.9,0.98,18.0
autism,PDGFR,497.1,1.69,11.19
fibromyalgia,CD47,449.4,2.69,8.09
sepsis,GR,502.9,3.23,9.59
cardiomyopathy,AMPA,557.6,2.4,11.14
colorectal_cancer,IGF1R,506.7,3.16,13.39
alzheimers,GR,319.2,2.08,11.42
colon_cancer,GABA_B,438.0,4.11,11.22
heart_failure,IL-23,487.1,1.83,12.05
coronary_artery_disease,IL-6,438.8,5.02,9.96
multiple_sclerosis,GABA_B,458.9,2.67,11.83
alzheimers,BRD4,489.3,3.76,10.16
bladder_cancer,EGFR,413.5,3.5,12.05
alzheimers,CTLA-4,423.7,3.72,13.72
cardiomyopathy,JAK,463.6,3.48,9.3
thyroid_cancer,Hedgehog,389.3,2.18,15.16
type2_diabetes,GR,525.6,2.92,8.55
kidney_disease,IL-13,472.8,2.69,9.82
sepsis,TOP1,521.9,2.39,9.09
obesity,VEGFPARP,439.2,3.79,9.21
prostate_cancer,NF-kB,543.8,2.48,12.94
celiac_disease,CD22,606.8,3.31,13.77
multiple_sclerosis,5-HT1A,366.6,3.37,10.92
crohns_disease,HDAC,419.4,3.43,12.23
tuberculosis,IL-6,446.6,3.07,8.67
cervical_cancer,IL-17,377.1,3.99,14.21
pancreatic_cancer,TOP1,357.5,1.89,12.98
chronic_pain,DNMT,479.4,4.6,11.11
migraine,CDK4,421.8,3.7,10.0
hepatitis_c,BCMA,535.9,3.81,12.25
cervical_cancer,CD38,425.1,1.91,10.73
insomnia,GR,273.4,2.74,9.58
pneumonia,TOP1,544.2,1.88,10.93
adhd,FGF,506.0,2.05,11.25
celiac_disease,p53,458.5,3.71,11.07
rheumatoid_arthritis,BRAF,397.2,3.17,12.01
crohns_disease,GPC3,416.8,3.71,11.94
influenza,CD19,468.8,3.06,9.4
huntingtons,p53,574.7,3.66,11.83
type1_diabetes,CD33,394.8,2.91,11.89
obesity,STAT,443.9,3.08,7.73
pancreatic_cancer,FGFR,652.0,3.37,11.9
sepsis,HDAC,287.1,2.46,8.53
type1_diabetes,AR,295.4,2.67,11.47
arrhythmia,HDAC,291.0,2.13,8.16
parkinsons,RAS,328.3,3.38,13.9
pancreatic_cancer,MYC,450.0,3.3,12.32
prostate_cancer,GCGR,441.6,1.61,11.14
rheumatoid_arthritis,CD20,491.1,4.92,16.59
cardiomyopathy,NMDA,482.7,2.57,10.22
depression,RET,335.8,2.09,11.19
prostate_cancer,RAS,486.2,4.07,12.64
type2_diabetes,Wnt,470.9,3.8,12.97
als,TIM3,506.6,3.51,13.53
liver_disease,DNMT,397.3,3.17,11.41
influenza,IL-13,382.1,3.02,10.69
crohns_disease,mTOR,476.5,4.68,12.37
type1_diabetes,RET,345.2,3.48,10.24
covid_19,GCGR,568.5,3.76,7.69
arthritis,PD-1,516.6,3.59,11.59
autism,GPC3,553.9,1.91,9.91
parkinsons,TNF_alpha,339.1,2.99,7.88
ovarian_cancer,IL-1,277.1,4.23,12.88
osteoporosis,MYC,547.7,2.57,13.26
epilepsy,GPC3,420.3,2.93,9.88
melanoma,BTK,454.2,3.13,13.65
migraine,TNF_alpha,494.7,2.83,10.38
alzheimers,CD38,525.5,3.45,12.31
tuberculosis,EGFR,401.4,4.34,9.91
copd,GR,341.3,2.91,8.45
thyroid_cancer,AP-1,527.4,2.28,12.0
myocardial_infarction,VEGFPARP,474.8,3.54,10.61
migraine,EGF,381.2,2.93,12.11
type1_diabetes,IL-13,437.5,2.45,13.02
liver_cancer,Wnt,634.1,2.24,15.07
chronic_pain,MYC,530.4,2.61,9.69
hepatitis_c,AP-1,363.1,3.1,8.62
lupus,CD30,501.9,3.92,11.98
psoriasis,AMPA,575.0,5.95,11.18
colorectal_cancer,c-MET,470.0,2.34,10.47
sepsis,NTRK,486.2,2.73,11.08
kidney_cancer,AR,524.1,1.7,12.9
bipolar_disorder,MYC,639.5,3.86,14.72
obesity,VEGFR,315.3,2.29,10.21
multiple_sclerosis,EGF,515.3,4.18,10.81
liver_disease,ALK,348.2,3.71,9.46
hypertension,RAS,294.2,2.91,13.26
type2_diabetes,HER3,539.0,2.45,7.99
tuberculosis,ROS1,329.4,3.15,6.58
atherosclerosis,TIGIT,401.6,3.63,11.04
autism,PDGFR,379.2,2.23,13.04
copd,ALK,288.3,3.17,10.92
type1_diabetes,AR,437.1,1.81,9.85
gout,GR,465.5,4.03,7.79
stroke,SGLT2,432.8,3.27,11.49
pancreatic_cancer,NF-kB,471.9,1.8,10.35
obesity,ALK,614.5,2.53,9.27
malaria,FGFR,502.5,3.77,10.18
thyroid_cancer,mTOR,438.8,3.61,14.41
multiple_sclerosis,STAT,469.7,1.58,9.34
fibromyalgia,GABA_B,423.4,2.39,10.9
kidney_cancer,GLP-1R,413.1,1.7,13.39
psoriasis,RAS,540.1,4.6,14.56
lymphoma,HER3,528.2,4.27,14.27
hiv_aids,IL-13,422.4,2.36,6.75
coronary_artery_disease,RET,387.7,3.64,8.62
parkinsons,GLP-1R,468.2,2.92,9.11
lymphoma,TGF_beta,553.6,3.4,13.3
hepatitis_b,PDGFR,382.9,2.32,10.57
liver_disease,BRD4,504.6,4.04,9.45
migraine,TIM3,494.1,4.9,12.83
hiv_aids,HER2,580.8,3.44,9.39
arthritis,VEGFR,382.9,1.69,9.14
pneumonia,LAG3,419.0,3.75,10.52
type1_diabetes,EGF,596.1,3.42,11.34
depression,ROS1,543.5,2.75,10.94
bipolar_disorder,NOTCH,499.8,3.82,13.75
malaria,CDK6,291.6,2.59,7.79
pneumonia,GR,526.0,3.27,10.44
type1_diabetes,JAK,354.3,0.57,10.32
colon_cancer,IL-17,420.7,2.93,13.98
bipolar_disorder,ER_beta,379.3,3.14,13.11
colon_cancer,AR,490.5,3.67,11.87
esophageal_cancer,PI3K,261.5,1.69,12.33
malaria,HER2,425.6,3.57,10.29
schizophrenia,GR,489.1,3.47,13.08
hepatitis_b,AMPA,419.3,2.67,9.79
coronary_artery_disease,GABA_B,391.7,3.77,11.43
bipolar_disorder,PDGFR,376.4,3.85,10.93
liver_disease,mTOR,466.6,2.95,9.13
hypertension,CD33,397.5,1.64,8.14
cardiomyopathy,CD47,398.2,2.67,9.06
gout,VEGFR,260.5,2.8,6.77
rheumatoid_arthritis,RAS,523.9,3.57,11.23
kidney_cancer,CD47,410.3,3.05,12.41
epilepsy,CD38,405.5,3.15,9.73
fibromyalgia,TIM3,573.2,3.97,10.87
epilepsy,OX40,491.7,2.51,11.0
thyroid_cancer,EGFR,510.0,1.31,13.83
schizophrenia,LAG3,429.8,3.58,14.0
stomach_cancer,TIGIT,509.2,3.67,16.37
fibromyalgia,TOP1,473.6,2.8,9.63
cardiomyopathy,Wnt,493.0,2.05,12.24
heart_failure,CD20,382.4,3.06,10.0
tuberculosis,IL-17,463.9,1.17,7.99
chronic_pain,ROS1,486.4,3.77,10.22
ovarian_cancer,FGF,443.8,5.37,12.86
sepsis,IL-6,395.4,2.64,9.74
parkinsons,CD38,418.4,2.92,11.32
type1_diabetes,mTOR,423.7,1.59,11.04
chronic_pain,IL-23,406.3,2.9,8.92
liver_disease,Hedgehog,548.3,5.2,10.79
crohns_disease,STAT,556.8,2.22,9.86
insomnia,TGF_beta,394.3,2.84,11.1
ulcerative_colitis,PDGFR,592.8,2.83,12.63
insomnia,BTK,343.8,2.5,8.72
autism,GCGR,510.6,3.69,11.32
ovarian_cancer,IL-23,434.0,3.68,10.83
crohns_disease,TNF_alpha,268.1,3.1,11.16
lupus,HDAC,518.9,2.17,9.65
gout,TGF_beta,383.1,1.13,8.57
colon_cancer,PR,577.2,2.28,10.35
bipolar_disorder,ROS1,469.3,3.6,10.57
thyroid_cancer,HER2,571.0,2.85,13.43
celiac_disease,BRAF,406.8,3.17,12.0
rheumatoid_arthritis,GPC3,552.7,2.83,12.4
parkinsons,c-MET,373.6,1.46,11.77
thyroid_cancer,CEA,352.3,3.86,12.18
covid_19,CDK4,424.4,2.39,9.1
brain_cancer,HER4,392.7,3.09,14.03
adhd,TOP1,430.8,2.73,10.57
celiac_disease,IL-13,557.9,4.54,13.57
brain_cancer,NMDA,321.2,3.33,11.43
cervical_cancer,VEGFPARP,387.9,2.75,11.85
huntingtons,DNMT,474.7,2.79,11.4
cervical_cancer,GABA_A,468.4,3.67,13.35
alzheimers,DNMT,473.6,2.35,8.84
crohns_disease,LAG3,399.7,1.56,13.49
alzheimers,PI3K,381.7,4.96,15.43
insomnia,DNMT,386.6,1.81,11.27
rheumatoid_arthritis,5-HT2A,475.6,2.89,11.33
pneumonia,HER3,434.4,4.41,8.5
celiac_disease,GR,493.9,2.47,9.49
colon_cancer,ERK,416.0,2.5,13.26
stroke,HIF,520.0,2.69,9.62
parkinsons,TNF_alpha,306.5,2.95,11.26
autism,GCGR,327.0,5.18,9.25
breast_cancer,CD20,372.7,2.84,15.28
arrhythmia,AP-1,470.7,2.71,11.6
hiv_aids,AP-1,426.8,3.42,11.02
celiac_disease,TOP2,572.1,3.77,9.4
autism,HDAC,568.3,1.95,13.59
brain_cancer,VEGFPARP,475.4,3.16,15.03
malaria,BCMA,478.1,4.38,7.54
gout,PD-1,432.3,2.59,8.65
prostate_cancer,CD22,492.7,1.22,13.99
insomnia,NTRK,431.1,2.87,8.21
psoriasis,HGF,376.4,4.06,11.12
obesity,EGF,365.0,2.86,11.23
liver_disease,EGF,473.5,4.35,11.61
alzheimers,MR,449.2,3.94,10.08
liver_disease,CDK6,506.0,3.12,9.9
chronic_pain,GABA_B,362.8,1.57,9.72
alzheimers,CEA,458.5,2.46,11.88
rheumatoid_arthritis,RET,523.5,3.75,11.34
type1_diabetes,TOP1,435.2,1.84,12.42
adhd,CDK6,490.9,1.98,10.45
cardiomyopathy,MYC,389.3,2.02,12.43
hiv_aids,VEGFPARP,438.9,4.17,8.36
esophageal_cancer,TOP1,449.6,2.56,12.48
lung_cancer,CD22,328.0,3.55,13.07
stomach_cancer,LAG3,387.6,3.12,16.02
insomnia,PR,421.7,3.84,9.0
huntingtons,5-HT2A,437.4,2.94,11.82
brain_cancer,CD47,488.9,5.11,15.77
hyperlipidemia,5-HT2A,521.1,2.91,9.33
epilepsy,AR,450.3,2.48,11.89
osteoporosis,PI3K,374.0,2.45,7.07
stroke,GIPR,388.2,3.65,9.47
kidney_cancer,CEA,364.3,4.33,12.21
coronary_artery_disease,TIM3,510.2,3.02,13.53
type2_diabetes,CEA,450.0,2.44,10.29
kidney_disease,5-HT1A,471.6,4.09,7.49
ulcerative_colitis,CD22,393.7,1.47,14.05
alzheimers,Hedgehog,506.3,3.32,14.41
tuberculosis,IL-1,360.4,2.27,8.62
hepatitis_c,c-MET,381.3,2.28,6.66
asthma,STAT,424.1,2.73,11.77
copd,BCR-ABL,397.9,2.24,10.77
atherosclerosis,MR,431.7,3.17,9.63
bladder_cancer,CDK4,424.7,4.16,11.11
liver_disease,AP-1,490.6,1.41,10.12
type1_diabetes,RAS,491.9,3.61,12.55
influenza,NF-kB,415.2,1.5,9.74
autism,GCGR,450.6,2.99,12.48
migraine,TIGIT,360.3,1.55,15.78
cervical_cancer,CTLA-4,443.0,2.77,11.34
lung_cancer,TGF_beta,416.6,2.92,13.77
osteoporosis,CD30,361.8,2.57,10.03
colorectal_cancer,PD-1,492.7,2.65,12.18
pancreatic_cancer,AMPA,316.2,2.53,11.07
obesity,GR,364.4,3.27,9.78
als,MR,475.5,1.34,11.69
ovarian_cancer,TIGIT,510.7,1.89,13.71
depression,RET,574.7,2.95,10.83
myocardial_infarction,CTLA-4,350.3,1.86,12.19
hypertension,MR,477.8,2.61,9.07
covid_19,Hedgehog,442.3,4.61,13.33
tuberculosis,TIM3,394.1,3.06,11.55
malaria,VEGFR,563.6,3.27,8.27
kidney_disease,STAT,321.5,3.51,10.55
melanoma,CD38,357.0,4.41,13.34
anxiety,c-MET,384.2,5.97,9.51
ovarian_cancer,AMPA,567.4,2.2,13.41
crohns_disease,VEGFPARP,451.6,3.75,11.2
sepsis,NMDA,512.7,3.44,9.32
migraine,HER3,550.2,2.88,10.2
crohns_disease,D2,420.7,2.65,12.79
asthma,IL-17,518.7,3.37,10.86
prostate_cancer,BCMA,473.3,3.8,15.23
stroke,5-HT1A,285.9,3.31,7.57
ulcerative_colitis,GIPR,467.5,4.67,12.69
thyroid_cancer,ERK,327.7,4.56,13.38
melanoma,mTOR,456.0,3.49,10.75
chronic_pain,CD20,584.1,3.56,13.32
alzheimers,PD-L1,482.0,3.24,13.33
arthritis,HER2,411.3,2.97,9.35
ovarian_cancer,Hedgehog,392.8,2.96,14.75
colorectal_cancer,GLP-1R,263.1,3.43,10.38
adhd,GCGR,440.3,2.66,11.68
breast_cancer,TOP2,467.6,1.57,11.57
parkinsons,GIPR,604.3,2.9,14.25
bipolar_disorder,LAG3,438.3,2.03,13.63
atherosclerosis,PI3K,451.9,4.39,11.54
arthritis,PD-L1,532.9,3.85,13.77
huntingtons,PD-L1,493.7,2.64,13.35
arthritis,TIM3,334.0,2.8,13.43
lupus,BCR-ABL,431.1,4.05,11.12
sepsis,Hedgehog,474.8,4.61,13.72
bladder_cancer,PI3K,545.8,2.54,13.18
pancreatic_cancer,mTOR,306.4,4.39,11.92
multiple_sclerosis,HER3,558.8,1.63,13.1
als,GPC3,570.7,3.38,12.17
lung_cancer,PD-L1,462.9,4.61,13.39
kidney_cancer,BTK,557.6,3.65,12.07
thyroid_cancer,BRAF,487.9,3.62,13.71
brain_cancer,TGF_beta,418.0,2.94,13.23
cervical_cancer,STAT,377.8,2.67,10.73
pancreatic_cancer,AR,420.7,2.36,13.99
adhd,IL-17,460.9,2.68,12.52
migraine,IGF1R,490.2,1.38,12.7
covid_19,DNMT,440.9,3.13,11.16
kidney_disease,RAS,425.1,2.83,11.53
heart_failure,TIM3,323.2,3.36,11.67
lymphoma,ER_alpha,501.8,3.49,13.72
atherosclerosis,IL-1,533.1,3.2,11.39
depression,mTOR,488.3,3.16,11.59
psoriasis,BTK,505.0,1.42,12.48
hepatitis_c,IL-17,378.5,4.59,11.12
ovarian_cancer,PD-L1,253.2,2.86,12.03
ulcerative_colitis,CD20,543.8,2.91,12.13
psoriasis,HER2,417.6,3.13,12.96
anxiety,HGF,421.8,3.03,13.27
colorectal_cancer,IL-1,395.3,4.11,12.47
bipolar_disorder,PDGFR,563.9,2.87,9.87
hepatitis_b,RAS,339.1,2.48,12.0
alzheimers,ER_alpha,435.3,3.51,12.12
kidney_cancer,TNF_alpha,369.4,2.23,12.24
influenza,CD38,490.9,3.94,7.87
liver_disease,GABA_B,400.3,1.67,9.19
stroke,ER_alpha,712.7,3.78,10.32
fibromyalgia,D2,428.6,3.87,8.3
als,AMPA,440.0,3.87,11.13
