indication,target,molecular_weight,logP,toxicity_label
colon_cancer,EGFR,435.222,3.539,1
colorectal_cancer,VEGF,592.369,2.697,1
colorectal_cancer,EGFR,650.291,0.793,0
schizophrenia,TNF_alpha,367.396,1.688,0
obesity,D2,590.519,3.488,1
breast_cancer,NMDA,510.349,2.261,0
lymphoma,IL-6,405.756,3.3,1
psoriasis,IL-6,242.82,4.119,1
breast_cancer,D2,534.648,3.355,0
breast_cancer,IL-6,460.555,1.301,1
copd,HER2,529.982,2.788,1
prostate_cancer,EGFR,597.067,2.541,0
melanoma,NMDA,419.545,3.026,1
psoriasis,BRAF,401.435,3.576,1
type2_diabetes,PD-1,541.726,1.901,1
colon_cancer,TNF_alpha,476.466,3.191,1
migraine,IL-6,528.868,1.587,1
psoriasis,5-HT1A,386.869,3.064,0
asthma,IL-6,442.07,3.483,0
obesity,GABA_A,492.856,3.26,0
colon_cancer,EGFR,596.706,3.5,1
type2_diabetes,D2,585.489,3.55,1
ovarian_cancer,D2,579.935,2.689,0
colorectal_cancer,HER2,402.27,2.452,0
obesity,NMDA,553.213,4.328,0
colorectal_cancer,GABA_A,494.626,1.295,0
lung_cancer,BRAF,582.275,2.363,0
lymphoma,ALK,394.043,2.563,0
melanoma,IL-6,440.657,3.434,1
colon_cancer,mTOR,502.261,2.491,1
migraine,mTOR,335.997,1.553,0
migraine,D2,397.052,2.646,0
prostate_cancer,ALK,406.226,2.862,0
migraine,PD1,457.828,4.709,0
colon_cancer,NMDA,590.407,2.497,0
melanoma,ALK,436.763,2.437,0
copd,BRAF,460.301,3.688,0
colorectal_cancer,5-HT1A,378.541,4.462,0
colorectal_cancer,TNF_alpha,504.759,1.74,0
breast_cancer,TNF_alpha,380.686,2.325,0
ovarian_cancer,PD-L1,525.34,3.528,1
colorectal_cancer,HER2,503.411,3.234,0
depression,mTOR,425.548,1.813,0
lymphoma,BRAF,341.57,2.622,0
obesity,GABA_A,513.004,3.017,0
depression,D2,370.102,2.182,0
asthma,TNF_alpha,515.431,3.574,1
lung_cancer,EGFR,355.48,1.893,0
depression,VEGF,464.962,3.587,0
lymphoma,PD1,398.672,4.971,1
asthma,VEGF,416.029,3.412,1
melanoma,GIPR,340.719,2.937,0
schizophrenia,mTOR,411.792,3.048,0
lymphoma,ALK,371.874,3.37,0
psoriasis,GIPR,365.08,3.252,1
prostate_cancer,GIPR,455.975,1.98,0
type2_diabetes,IL-6,322.487,2.274,1
ovarian_cancer,EGFR,437.082,2.683,0
prostate_cancer,PD1,400.087,2.178,0
migraine,HER2,487.122,2.442,1
lymphoma,D2,491.936,1.046,0
psoriasis,HER2,529.836,3.183,1
schizophrenia,5-HT1A,469.024,2.745,1
colorectal_cancer,PD-L1,373.266,3.068,0
lung_cancer,HER2,443.287,2.97,1
copd,GABA_A,629.135,2.866,0
colorectal_cancer,GLP-1R,355.889,2.346,0
copd,ALK,370.497,4.395,0
lymphoma,GLP-1R,472.227,5.344,0
breast_cancer,BRAF,451.239,4.301,1
prostate_cancer,EGFR,478.984,2.617,1
lung_cancer,HER2,470.678,2.293,0
colorectal_cancer,5-HT1A,571.34,3.658,0
lung_cancer,D2,575.056,3.369,0
asthma,PD1,519.492,3.204,0
colorectal_cancer,NMDA,473.485,2.381,1
lung_cancer,SGLT2,481.702,3.981,1
copd,EGFR,407.821,3.256,1
colorectal_cancer,PD-1,406.147,2.333,0
obesity,PD1,359.592,1.825,0
prostate_cancer,VEGF,574.98,2.842,1
melanoma,SGLT2,424.088,4.242,1
lung_cancer,EGFR,432.198,2.894,1
lung_cancer,PD-L1,540.354,3.557,1
ovarian_cancer,GIPR,464.213,2.827,0
lymphoma,TNF_alpha,496.829,3.657,0
schizophrenia,HER2,433.321,2.669,0
psoriasis,ALK,552.932,1.881,0
melanoma,5-HT1A,557.958,2.044,0
psoriasis,SGLT2,487.29,2.224,0
depression,ALK,421.654,5.21,1
breast_cancer,SGLT2,465.29,3.252,0
type2_diabetes,IL-6,370.349,3.195,0
lung_cancer,PD1,488.946,3.514,0
colorectal_cancer,IL-6,416.258,2.946,0
copd,IL-6,411.973,0.34,1
melanoma,GABA_A,453.806,2.013,0
psoriasis,5-HT1A,348.151,3.054,0
schizophrenia,VEGF,499.994,1.745,1
colon_cancer,SGLT2,394.293,3.879,0
ovarian_cancer,IL-6,435.982,2.648,0
lymphoma,SGLT2,599.7,2.995,1
lung_cancer,HER2,436.095,2.522,0
schizophrenia,PD-L1,427.905,2.205,0
melanoma,GABA_A,518.81,3.302,0
schizophrenia,GLP-1R,399.592,3.439,1
rheumatoid_arthritis,EGFR,421.079,2.592,0
asthma,GLP-1R,490.951,1.141,1
schizophrenia,PD-L1,409.207,4.251,1
lymphoma,mTOR,540.873,3.434,1
type2_diabetes,EGFR,598.513,3.76,1
colorectal_cancer,HER2,426.438,2.639,1
ovarian_cancer,VEGF,427.206,4.1,1
melanoma,D2,417.375,1.61,0
melanoma,VEGF,435.887,3.354,0
migraine,PD-L1,457.416,1.637,1
asthma,BRAF,525.127,2.408,1
colorectal_cancer,GLP-1R,455.062,2.895,0
migraine,HER2,479.541,1.814,1
lymphoma,mTOR,413.032,2.894,1
type2_diabetes,GABA_A,376.036,3.934,0
schizophrenia,VEGF,447.482,2.908,0
asthma,EGFR,332.983,3.086,1
asthma,NMDA,504.321,1.302,0
psoriasis,NMDA,339.902,2.648,0
asthma,TNF_alpha,427.041,2.956,0
lung_cancer,GABA_A,342.841,2.878,0
colorectal_cancer,IL-6,589.142,1.966,1
psoriasis,HER2,567.945,3.147,1
melanoma,GIPR,322.579,2.083,0
prostate_cancer,PD-1,337.958,4.498,1
colorectal_cancer,PD-L1,377.6,2.453,0
schizophrenia,GIPR,550.182,3.255,0
lymphoma,NMDA,404.201,3.955,1
breast_cancer,NMDA,409.983,1.727,1
ovarian_cancer,TNF_alpha,499.073,2.438,0
lymphoma,mTOR,381.471,3.885,0
obesity,TNF_alpha,368.783,4.306,1
lymphoma,PD1,496.573,2.875,0
asthma,BRAF,411.775,1.874,0
colorectal_cancer,EGFR,487.465,3.218,1
lymphoma,PD1,419.657,1.209,0
breast_cancer,GIPR,430.546,3.622,0
rheumatoid_arthritis,PD1,428.276,3.767,0
colon_cancer,D2,387.759,1.861,0
rheumatoid_arthritis,EGFR,442.923,4.546,0
lymphoma,GIPR,380.386,4.553,0
lung_cancer,PD-1,415.019,5.434,1
colorectal_cancer,ALK,579.178,2.319,1
melanoma,5-HT1A,414.332,2.584,0
psoriasis,D2,437.57,1.398,0
melanoma,SGLT2,580.758,3.595,0
lung_cancer,BRAF,544.425,3.374,0
obesity,GLP-1R,370.473,4.184,0
colorectal_cancer,BRAF,328.908,3.252,1
melanoma,mTOR,653.005,3.599,1
lymphoma,ALK,505.347,2.513,1
schizophrenia,HER2,579.181,2.994,1
depression,5-HT1A,433.697,2.495,0
schizophrenia,GIPR,338.893,3.875,0
psoriasis,NMDA,501.087,2.352,0
colorectal_cancer,BRAF,412.024,3.196,0
type2_diabetes,GLP-1R,462.274,1.8,0
melanoma,5-HT1A,481.266,1.567,0
psoriasis,PD-1,458.809,1.864,0
ovarian_cancer,SGLT2,410.896,3.289,0
depression,5-HT1A,288.539,1.636,0
colorectal_cancer,5-HT1A,545.927,1.851,1
melanoma,GIPR,289.198,4.27,0
depression,GABA_A,465.213,3.453,1
lymphoma,ALK,542.367,2.753,1
depression,GIPR,507.439,1.437,0
lung_cancer,GIPR,452.24,1.939,0
copd,IL-6,425.735,0.884,1
rheumatoid_arthritis,ALK,351.126,2.644,0
rheumatoid_arthritis,GLP-1R,419.558,2.746,0
copd,ALK,445.633,2.622,0
colorectal_cancer,GIPR,493.63,2.396,0
ovarian_cancer,IL-6,463.361,3.792,0
psoriasis,EGFR,309.343,2.592,1
colon_cancer,GABA_A,361.447,2.957,0
schizophrenia,PD-L1,376.377,3.789,0
asthma,GABA_A,563.323,2.997,0
ovarian_cancer,ALK,512.16,2.48,0
depression,PD1,488.718,3.124,1
colorectal_cancer,BRAF,435.875,2.57,0
depression,GIPR,508.713,1.854,0
colon_cancer,EGFR,395.915,2.424,0
psoriasis,D2,520.023,2.807,1
psoriasis,GLP-1R,427.638,2.648,0
depression,HER2,492.051,4.319,1
type2_diabetes,mTOR,382.281,3.193,0
type2_diabetes,NMDA,299.691,3.177,0
rheumatoid_arthritis,GABA_A,593.827,4.713,1
lung_cancer,SGLT2,478.762,0.576,0
psoriasis,GABA_A,395.525,3.82,1
rheumatoid_arthritis,HER2,393.862,2.677,0
obesity,HER2,446.636,2.983,1
lung_cancer,5-HT1A,458.026,1.513,0
lung_cancer,PD-L1,605.181,1.61,0
migraine,PD-L1,321.68,2.178,0
rheumatoid_arthritis,BRAF,567.666,4.736,1
colorectal_cancer,EGFR,410.438,2.213,0
breast_cancer,GLP-1R,286.061,5.132,0
colorectal_cancer,mTOR,439.276,3.094,1
schizophrenia,PD-L1,472.787,2.6,0
copd,ALK,330.389,1.862,1
type2_diabetes,GABA_A,498.311,5.209,0
lymphoma,EGFR,365.718,2.867,0
lymphoma,ALK,456.602,1.249,0
type2_diabetes,mTOR,350.225,2.832,0
colon_cancer,GLP-1R,500.159,2.265,0
colon_cancer,NMDA,302.208,2.773,0
type2_diabetes,mTOR,411.386,3.778,0
colon_cancer,HER2,369.457,3.599,1
melanoma,NMDA,468.585,2.216,0
copd,GABA_A,475.06,2.189,0
breast_cancer,PD1,400.578,1.808,0
schizophrenia,GIPR,392.892,3.297,0
copd,GLP-1R,522.921,1.329,0
colon_cancer,VEGF,523.111,3.956,0
copd,SGLT2,386.139,2.16,0
colon_cancer,PD1,416.891,2.095,0
colon_cancer,NMDA,410.5,3.976,0
rheumatoid_arthritis,GABA_A,419.544,2.928,0
melanoma,NMDA,576.541,4.701,1
asthma,ALK,414.232,4.555,1
asthma,5-HT1A,317.91,3.112,0
asthma,5-HT1A,400.847,2.831,1
colon_cancer,NMDA,492.571,3.148,0
depression,BRAF,380.097,2.623,0
colon_cancer,GIPR,450.289,4.046,0
schizophrenia,D2,468.993,1.996,0
rheumatoid_arthritis,mTOR,362.648,4.092,0
ovarian_cancer,ALK,454.795,2.74,0
asthma,EGFR,467.803,3.659,1
ovarian_cancer,NMDA,484.85,2.746,0
prostate_cancer,D2,482.998,2.839,0
type2_diabetes,IL-6,335.691,3.158,1
migraine,HER2,397.891,2.235,0
depression,BRAF,583.03,4.231,1
copd,mTOR,466.093,5.536,0
schizophrenia,IL-6,444.108,2.292,0
schizophrenia,VEGF,378.096,2.27,0
colon_cancer,EGFR,341.632,1.96,1
depression,IL-6,459.785,3.71,1
type2_diabetes,ALK,494.469,2.934,0
obesity,PD-L1,503.898,1.979,0
schizophrenia,ALK,356.726,2.313,0
type2_diabetes,PD1,409.217,2.749,0
rheumatoid_arthritis,5-HT1A,464.08,3.02,0
breast_cancer,ALK,438.821,2.093,0
asthma,HER2,366.93,1.919,0
lymphoma,PD-L1,494.84,2.749,0
ovarian_cancer,NMDA,505.022,2.408,1
colon_cancer,PD-1,362.452,3.93,0
type2_diabetes,HER2,386.278,2.538,0
type2_diabetes,EGFR,548.085,3.301,1
prostate_cancer,PD-L1,414.393,0.884,1
colorectal_cancer,GLP-1R,386.316,4.156,0
psoriasis,EGFR,570.996,2.227,0
melanoma,VEGF,411.688,1.426,1
lymphoma,NMDA,488.539,3.076,0
ovarian_cancer,ALK,262.128,1.844,0
ovarian_cancer,IL-6,482.98,3.377,1
depression,PD-L1,487.428,3.147,1
breast_cancer,mTOR,591.19,2.935,0
breast_cancer,TNF_alpha,473.308,1.851,0
breast_cancer,PD1,535.156,2.879,0
lung_cancer,GLP-1R,456.872,2.621,0
psoriasis,mTOR,307.896,1.454,0
rheumatoid_arthritis,PD-1,420.24,1.58,1
asthma,VEGF,590.804,3.065,1
depression,EGFR,429.434,4.576,1
colon_cancer,ALK,619.866,2.496,1
melanoma,ALK,529.57,2.236,0
colorectal_cancer,PD-L1,439.071,1.672,1
melanoma,VEGF,515.66,2.907,0
colorectal_cancer,mTOR,388.29,3.321,0
type2_diabetes,5-HT1A,382.708,3.737,0
melanoma,HER2,611.829,3.269,0
depression,mTOR,447.989,3.038,0
schizophrenia,TNF_alpha,409.197,2.541,0
lymphoma,VEGF,448.275,4.439,0
lung_cancer,PD-L1,438.81,3.489,0
lung_cancer,VEGF,376.38,2.203,0
colon_cancer,PD-L1,461.474,1.138,1
melanoma,GLP-1R,508.193,3.96,0
copd,BRAF,458.921,1.991,0
copd,PD-L1,454.471,2.144,0
migraine,GABA_A,386.457,4.095,1
type2_diabetes,IL-6,677.79,3.403,1
psoriasis,IL-6,157.593,2.514,0
depression,5-HT1A,415.316,2.819,0
lymphoma,PD1,470.909,4.078,1
copd,PD-1,488.719,3.462,1
type2_diabetes,PD1,424.698,2.71,0
lung_cancer,D2,520.88,0.963,0
migraine,HER2,417.557,3.089,0
colon_cancer,SGLT2,381.564,3.618,0
breast_cancer,PD-L1,478.684,3.035,1
migraine,PD-L1,592.574,1.67,0
depression,PD-1,566.373,2.293,1
ovarian_cancer,IL-6,344.673,2.937,1
breast_cancer,GABA_A,514.21,2.432,0
prostate_cancer,GLP-1R,416.315,2.883,0
ovarian_cancer,NMDA,361.755,5.452,1
depression,IL-6,621.803,2.498,0
lung_cancer,5-HT1A,489.978,3.838,0
colon_cancer,TNF_alpha,446.068,4.284,1
prostate_cancer,IL-6,467.842,2.528,1
psoriasis,HER2,494.092,4.089,0
migraine,VEGF,428.623,2.3,1
type2_diabetes,VEGF,483.835,4.501,0
asthma,GLP-1R,559.945,3.193,0
colorectal_cancer,PD-1,430.766,3.362,0
lymphoma,mTOR,473.464,2.704,0
type2_diabetes,VEGF,462.017,4.428,0
depression,HER2,423.811,4.313,1
obesity,EGFR,471.292,2.22,1
rheumatoid_arthritis,ALK,434.158,3.287,1
obesity,ALK,290.852,1.867,0
migraine,ALK,457.919,2.893,1
migraine,GLP-1R,540.347,2.595,0
lung_cancer,GIPR,526.022,3.322,1
lung_cancer,PD-1,559.392,2.291,1
lung_cancer,VEGF,458.898,4.23,1
melanoma,NMDA,462.887,2.246,0
colorectal_cancer,PD-L1,574.829,3.877,1
lymphoma,EGFR,397.141,3.673,1
colorectal_cancer,BRAF,473.618,2.087,1
colorectal_cancer,SGLT2,451.452,4.436,0
type2_diabetes,SGLT2,483.19,2.916,0
colorectal_cancer,mTOR,386.32,3.152,0
breast_cancer,GIPR,387.931,4.035,1
lymphoma,BRAF,744.997,3.182,0
lung_cancer,TNF_alpha,265.839,3.846,0
lung_cancer,EGFR,559.714,4.212,1
prostate_cancer,NMDA,567.91,2.998,0
lymphoma,ALK,409.668,2.098,0
psoriasis,ALK,425.677,2.071,0
colon_cancer,BRAF,463.546,2.303,1
type2_diabetes,TNF_alpha,467.203,1.576,0
obesity,PD-L1,488.502,3.58,1
colorectal_cancer,SGLT2,406.437,3.614,1
type2_diabetes,PD1,559.254,1.815,0
type2_diabetes,5-HT1A,434.991,1.983,0
asthma,GABA_A,440.524,4.387,1
lung_cancer,5-HT1A,379.996,4.376,0
asthma,D2,511.75,3.708,0
obesity,PD1,420.044,2.535,0
colorectal_cancer,mTOR,529.382,1.772,0
copd,VEGF,471.847,1.665,0
asthma,GLP-1R,640.423,3.114,1
prostate_cancer,NMDA,342.381,4.616,0
schizophrenia,TNF_alpha,462.288,2.002,0
melanoma,IL-6,494.414,1.76,0
colorectal_cancer,PD1,174.674,1.832,0
asthma,GIPR,400.67,3.644,1
prostate_cancer,PD-1,399.815,4.095,0
ovarian_cancer,EGFR,375.606,1.775,0
breast_cancer,BRAF,427.166,2.481,0
migraine,BRAF,505.593,2.499,0
colorectal_cancer,VEGF,486.747,2.663,0
migraine,D2,500.067,3.457,0
migraine,GLP-1R,262.208,3.027,0
lymphoma,PD-L1,527.387,3.143,1
type2_diabetes,TNF_alpha,432.09,3.657,1
obesity,5-HT1A,557.397,4.171,1
copd,PD1,410.036,2.61,1
lung_cancer,GABA_A,446.557,2.393,0
depression,GIPR,547.476,2.395,0
type2_diabetes,EGFR,433.143,3.817,1
colon_cancer,GLP-1R,478.21,3.336,1
rheumatoid_arthritis,HER2,519.232,1.638,0
obesity,NMDA,277.545,2.095,1
psoriasis,BRAF,484.465,1.524,0
colon_cancer,HER2,510.285,4.903,1
breast_cancer,IL-6,434.845,2.73,1
copd,VEGF,364.296,2.579,0
psoriasis,ALK,419.283,3.128,0
ovarian_cancer,5-HT1A,457.22,4.379,0
obesity,GLP-1R,519.874,1.631,0
schizophrenia,PD-L1,491.307,3.957,1
psoriasis,PD1,434.282,3.755,0
breast_cancer,VEGF,517.368,4.854,0
colorectal_cancer,D2,363.316,1.336,0
copd,PD1,525.805,4.316,0
asthma,ALK,317.221,1.744,0
lung_cancer,ALK,432.212,2.603,0
type2_diabetes,GIPR,570.8,3.263,0
ovarian_cancer,PD-L1,562.361,4.665,1
prostate_cancer,BRAF,505.683,4.545,1
asthma,PD-L1,407.555,4.833,1
copd,SGLT2,574.183,2.274,1
colon_cancer,NMDA,485.125,3.523,0
lung_cancer,D2,430.712,3.441,1
depression,GIPR,428.318,1.639,0
melanoma,NMDA,363.046,4.813,1
ovarian_cancer,ALK,312.074,3.376,0
psoriasis,VEGF,501.631,2.016,0
depression,PD1,273.572,4.087,0
colorectal_cancer,TNF_alpha,626.415,3.238,1
schizophrenia,PD1,491.831,3.802,0
copd,GIPR,418.301,2.909,0
type2_diabetes,HER2,421.918,4.054,1
migraine,ALK,375.08,2.054,0
colorectal_cancer,GLP-1R,371.815,5.142,0
migraine,mTOR,562.052,3.22,1
asthma,VEGF,449.649,4.563,0
rheumatoid_arthritis,GIPR,429.022,1.867,0
obesity,IL-6,391.431,5.811,1
lymphoma,TNF_alpha,350.339,3.072,0
type2_diabetes,EGFR,531.515,1.977,1
psoriasis,ALK,662.905,2.26,1
lung_cancer,GLP-1R,401.416,2.709,1
ovarian_cancer,D2,578.839,3.814,0
breast_cancer,D2,489.295,4.491,0
ovarian_cancer,SGLT2,423.556,3.663,0
asthma,ALK,469.654,2.541,1
type2_diabetes,PD-1,490.847,3.246,0
colon_cancer,IL-6,613.348,4.045,1
migraine,GABA_A,467.046,2.912,0
asthma,SGLT2,502.16,4.295,1
melanoma,GABA_A,462.055,2.302,0
prostate_cancer,PD1,444.242,3.902,0
prostate_cancer,IL-6,500.327,3.552,1
rheumatoid_arthritis,BRAF,426.155,2.946,0
type2_diabetes,IL-6,488.961,3.093,0
copd,mTOR,479.491,2.309,0
ovarian_cancer,PD-L1,508.986,2.413,0
lymphoma,EGFR,431.09,2.383,0
obesity,D2,606.293,3.282,0
migraine,5-HT1A,354.042,4.426,0
type2_diabetes,IL-6,442.626,2.226,1
lung_cancer,GABA_A,476.209,1.7,0
lung_cancer,D2,415.303,2.647,0
depression,GLP-1R,359.52,2.216,0
migraine,EGFR,377.824,3.953,1
psoriasis,PD-L1,363.955,4.313,1
breast_cancer,PD1,380.003,3.688,0
asthma,mTOR,492.715,5.076,1
schizophrenia,EGFR,338.557,3.214,0
prostate_cancer,D2,570.345,3.172,1
rheumatoid_arthritis,PD1,481.909,2.938,0
asthma,SGLT2,401.514,1.88,0
depression,GIPR,416.672,3.113,0
migraine,mTOR,531.788,1.848,1
lymphoma,VEGF,406.862,3.506,0
lymphoma,NMDA,434.437,4.374,0
ovarian_cancer,GLP-1R,340.923,2.723,0
type2_diabetes,EGFR,275.461,2.824,1
asthma,IL-6,544.552,3.216,1
asthma,PD-1,446.714,5.127,0
psoriasis,D2,324.117,4.24,0
copd,PD1,582.691,2.61,1
obesity,5-HT1A,509.178,0.82,1
copd,PD-L1,379.3,2.59,0
ovarian_cancer,mTOR,416.708,0.99,0
copd,PD1,440.781,3.68,1
melanoma,BRAF,428.214,2.731,1
prostate_cancer,PD-L1,341.011,3.042,0
ovarian_cancer,PD1,496.041,3.499,1
colon_cancer,GIPR,534.908,3.201,0
asthma,mTOR,562.577,3.582,0
schizophrenia,PD1,433.145,2.4,0
colorectal_cancer,EGFR,418.644,2.657,0
lung_cancer,VEGF,404.735,2.637,0
obesity,NMDA,498.441,2.842,0
colorectal_cancer,HER2,396.645,2.342,0
lung_cancer,HER2,484.884,3.939,1
prostate_cancer,mTOR,410.644,1.72,0
copd,GLP-1R,478.454,3.831,1
migraine,VEGF,594.397,2.784,1
melanoma,ALK,625.907,3.343,1
asthma,GABA_A,322.712,1.232,0
schizophrenia,GLP-1R,449.781,2.605,0
asthma,5-HT1A,502.095,2.941,1
type2_diabetes,PD1,508.762,4.655,0
prostate_cancer,PD-L1,391.317,2.762,1
colon_cancer,ALK,543.675,1.771,0
colorectal_cancer,PD-L1,641.346,1.449,1
type2_diabetes,GIPR,412.925,1.678,0
colon_cancer,BRAF,464.07,2.287,0
lung_cancer,NMDA,361.406,3.104,0
asthma,ALK,443.735,1.961,0
colon_cancer,PD-L1,373.084,3.382,1
type2_diabetes,ALK,379.782,0.632,0
melanoma,BRAF,378.217,2.574,1
migraine,BRAF,395.283,2.044,0
obesity,ALK,530.873,3.618,0
rheumatoid_arthritis,PD1,380.58,2.657,0
depression,VEGF,531.894,1.876,0
lung_cancer,SGLT2,441.767,2.328,1
psoriasis,EGFR,405.15,2.897,0
breast_cancer,PD-1,383.82,3.399,0
lymphoma,HER2,446.911,2.315,0
melanoma,5-HT1A,435.654,2.174,0
schizophrenia,SGLT2,581.02,3.247,0
rheumatoid_arthritis,IL-6,617.881,1.634,1
prostate_cancer,GABA_A,356.299,3.254,0
breast_cancer,SGLT2,411.306,0.558,0
copd,PD-L1,354.43,3.003,1
psoriasis,EGFR,390.199,3.167,1
copd,PD-1,326.691,3.975,0
asthma,mTOR,339.094,4.448,1
colon_cancer,TNF_alpha,507.402,2.008,1
schizophrenia,PD-L1,431.009,2.637,0
breast_cancer,GABA_A,399.36,3.944,0
colon_cancer,HER2,447.912,4.486,1
asthma,PD-L1,452.594,2.767,0
type2_diabetes,mTOR,387.762,3.85,0
melanoma,BRAF,548.948,4.55,0
lung_cancer,GIPR,501.759,2.585,0
lung_cancer,SGLT2,482.856,1.813,0
lymphoma,BRAF,559.849,1.732,1
copd,NMDA,463.663,2.389,1
ovarian_cancer,GABA_A,374.133,4.776,0
lung_cancer,PD-1,375.459,3.282,0
prostate_cancer,D2,387.992,1.668,0
rheumatoid_arthritis,mTOR,511.519,0.947,0
colon_cancer,SGLT2,528.743,3.377,0
asthma,GIPR,625.851,3.116,1
depression,D2,562.662,1.669,0
colon_cancer,GABA_A,494.629,0.775,0
asthma,PD-L1,623.207,3.107,1
colorectal_cancer,GLP-1R,319.84,4.263,0
psoriasis,GLP-1R,528.899,3.188,0
type2_diabetes,NMDA,352.876,4.378,0
copd,SGLT2,530.132,1.958,0
schizophrenia,mTOR,410.719,1.837,1
ovarian_cancer,PD-L1,382.671,4.213,1
colorectal_cancer,GIPR,470.363,2.35,0
lung_cancer,SGLT2,558.106,4.059,1
colon_cancer,mTOR,491.579,1.756,0
migraine,IL-6,463.69,2.508,1
melanoma,ALK,494.03,1.316,0
depression,NMDA,379.579,2.841,0
breast_cancer,EGFR,427.924,3.459,1
prostate_cancer,IL-6,440.677,2.53,0
type2_diabetes,ALK,502.483,1.77,0
colorectal_cancer,PD1,482.011,3.876,1
melanoma,IL-6,428.542,5.999,1
breast_cancer,GLP-1R,475.376,4.79,1
rheumatoid_arthritis,GIPR,387.863,1.93,0
melanoma,D2,268.323,1.609,0
prostate_cancer,TNF_alpha,481.055,0.412,0
colorectal_cancer,EGFR,496.584,3.013,1
rheumatoid_arthritis,TNF_alpha,562.189,5.943,1
type2_diabetes,GABA_A,444.005,2.993,0
depression,BRAF,459.35,2.795,0
asthma,GABA_A,314.69,3.572,1
colon_cancer,TNF_alpha,504.221,3.265,0
depression,D2,610.716,5.173,1
lung_cancer,HER2,441.933,2.4,0
type2_diabetes,PD1,465.959,3.556,0
depression,mTOR,310.067,3.789,0
obesity,TNF_alpha,288.352,1.436,1
rheumatoid_arthritis,GLP-1R,392.227,4.135,1
psoriasis,GLP-1R,446.679,2.731,0
lymphoma,D2,373.507,2.117,0
type2_diabetes,GABA_A,357.9,3.352,1
obesity,PD1,363.58,4.415,1
asthma,NMDA,443.44,1.999,0
lymphoma,SGLT2,441.111,2.685,0
asthma,TNF_alpha,565.228,4.105,1
psoriasis,PD-L1,557.363,2.977,1
colorectal_cancer,SGLT2,375.313,3.831,0
schizophrenia,ALK,387.839,2.31,0
prostate_cancer,TNF_alpha,421.082,3.145,0
lymphoma,PD-L1,487.065,3.366,1
type2_diabetes,EGFR,542.622,2.761,1
asthma,PD-1,308.758,3.78,0
asthma,PD-L1,317.589,2.369,0
copd,BRAF,347.457,3.061,1
depression,GABA_A,444.986,1.831,1
lymphoma,PD-1,270.409,2.758,0
obesity,GABA_A,547.102,3.542,0
colon_cancer,PD-L1,572.346,3.453,1
ovarian_cancer,5-HT1A,510.16,2.544,0
obesity,mTOR,595.571,3.908,1
rheumatoid_arthritis,D2,381.672,3.686,0
melanoma,PD-L1,453.32,3.365,1
copd,BRAF,493.903,4.036,0
type2_diabetes,GABA_A,530.433,1.628,0
colon_cancer,EGFR,500.678,3.727,0
obesity,PD-L1,445.916,4.899,1
rheumatoid_arthritis,ALK,521.806,2.802,0
melanoma,GLP-1R,375.829,1.67,0
psoriasis,mTOR,357.25,3.147,0
migraine,mTOR,489.557,1.616,0
asthma,GABA_A,446.992,3.396,1
copd,ALK,511.082,3.96,1
obesity,ALK,473.829,2.333,0
lymphoma,mTOR,335.995,1.63,0
psoriasis,HER2,431.358,2.186,1
type2_diabetes,IL-6,607.12,4.112,1
copd,IL-6,476.616,3.118,1
obesity,VEGF,449.024,2.254,1
colon_cancer,BRAF,563.492,1.299,0
migraine,PD-1,364.651,1.905,0
rheumatoid_arthritis,mTOR,408.489,4.044,1
type2_diabetes,SGLT2,403.5,3.424,0
breast_cancer,SGLT2,404.578,1.837,0
colon_cancer,PD-1,591.795,1.623,1
depression,GLP-1R,461.016,4.659,1
prostate_cancer,SGLT2,564.516,3.926,0
prostate_cancer,TNF_alpha,353.721,2.113,0
lung_cancer,mTOR,499.235,0.865,0
depression,5-HT1A,594.755,4.728,1
rheumatoid_arthritis,HER2,556.856,2.649,0
prostate_cancer,BRAF,546.303,3.664,1
colon_cancer,SGLT2,491.51,3.028,0
schizophrenia,mTOR,411.756,2.222,0
schizophrenia,PD-L1,538.465,2.719,0
copd,PD1,419.292,2.837,0
type2_diabetes,TNF_alpha,503.949,2.985,0
copd,EGFR,370.951,4.91,0
obesity,VEGF,389.851,3.006,1
lung_cancer,TNF_alpha,397.42,4.371,1
breast_cancer,mTOR,477.021,2.353,0
obesity,VEGF,404.986,3.839,0
asthma,PD-L1,490.931,3.023,1
depression,GLP-1R,547.861,2.386,1
ovarian_cancer,ALK,508.537,2.47,0
melanoma,5-HT1A,361.693,2.426,0
ovarian_cancer,PD-L1,457.954,4.217,0
prostate_cancer,NMDA,482.132,1.414,0
rheumatoid_arthritis,ALK,388.832,3.139,1
asthma,D2,451.836,3.893,1
depression,HER2,468.979,3.689,1
depression,NMDA,373.207,3.887,0
ovarian_cancer,HER2,410.949,3.819,1
melanoma,GABA_A,353.646,4.887,1
type2_diabetes,PD-L1,541.033,2.67,0
rheumatoid_arthritis,PD-L1,451.833,3.937,1
lung_cancer,EGFR,398.759,3.42,1
ovarian_cancer,IL-6,501.438,3.142,1
depression,GLP-1R,485.844,5.475,0
copd,mTOR,464.524,1.948,0
melanoma,PD-L1,468.485,3.281,1
lymphoma,GIPR,462.491,3.016,0
colorectal_cancer,NMDA,379.467,2.625,0
prostate_cancer,GABA_A,389.379,3.279,0
melanoma,BRAF,443.506,5.092,1
obesity,GABA_A,495.108,3.96,1
